video_id,source_url,direct_url,media_ok,duration_sec,category,knowledge_point,question,choice_A,choice_B,choice_C,choice_D,answer,dynamic_evidence,static_insufficient_reason,video_available,dynamic_process_visible,knowledge_point_supported,answer_only_leakage,single_frame_sufficient,sparse_frames_sufficient,title_or_subtitle_leakage,review_decision,reviewer_notes
dynaknow_000041,https://commons.wikimedia.org/wiki/File:Cap_4.6_-_Frequencia_de_engrenamento.ogv,,,50.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A,0.0-50.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000042,https://commons.wikimedia.org/wiki/File:Cap_4.5_-_Componentes_soltos_bancada_4_-_2.ogv,,,15.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A pendulum exchanges gravitational potential energy and kinetic energy.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,B,0.0-15.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000043,https://commons.wikimedia.org/wiki/File:Cap_4.5_-_Componentes_soltos_bancada_4_-_1.ogv,,,14.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,A pendulum exchanges gravitational potential energy and kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,C,0.0-14.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000044,https://commons.wikimedia.org/wiki/File:Cap_4.3_-_Desalinhamento_angular_de_eixo_na_bancada_4.ogv,,,15.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A pendulum exchanges gravitational potential energy and kinetic energy.,D,0.0-15.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000045,https://commons.wikimedia.org/wiki/File:Cap_2.1_-_Demonstracao_de_medicao_com_Trigger.ogv,,,44.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A,0.0-44.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000046,https://commons.wikimedia.org/wiki/File:Cap_1.3_-_Grafico_de_Orbita.ogv,,,20.4,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A pendulum exchanges gravitational potential energy and kinetic energy.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,B,0.0-20.4: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000047,https://commons.wikimedia.org/wiki/File:Carom_billiards.webm,,,80.0,physics_mechanics,Collisions transfer momentum between objects.,Which knowledge point is best demonstrated by the dynamic process in the video?,Non-elastic collisions dissipate kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,Collisions transfer momentum between objects.,A spinning object can maintain angular momentum.,C,0.0-20.0: Billiard balls repeatedly change velocity and direction after contacts over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000048,https://commons.wikimedia.org/wiki/File:Video_of_RP_FLIP_transitioning_to_vertical_(120630-N-PO203-001).webm,,,78.0,physics_mechanics,Buoyancy depends on displaced fluid and object density.,Which knowledge point is best demonstrated by the dynamic process in the video?,Pressure differences can move fluids.,Surface tension can support small objects or droplets.,Capillary action can pull liquid through narrow gaps.,Buoyancy depends on displaced fluid and object density.,D,0.0-60.0: The platform orientation changes as ballast changes buoyancy and center of mass over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000049,https://commons.wikimedia.org/wiki/File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s3.ogv,,,25.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,Vibration can transfer energy through a medium.,A pendulum exchanges gravitational potential energy and kinetic energy.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,A,0.0-25.0: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000050,https://commons.wikimedia.org/wiki/File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s2.ogv,,,25.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Vibration can transfer energy through a medium.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,B,0.0-25.0: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000051,https://commons.wikimedia.org/wiki/File:Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s005.ogv,,,33.5,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Warm air rises and can drive convection.,Vibration can transfer energy through a medium.,Magnetic fields can align or attract ferromagnetic materials.,C,0.0-33.5: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000052,https://commons.wikimedia.org/wiki/File:Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s004.ogv,,,34.6,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,Vibration can transfer energy through a medium.,D,0.0-34.6: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000053,https://commons.wikimedia.org/wiki/File:Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s003.ogv,,,9.4,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,Vibration can transfer energy through a medium.,A pendulum exchanges gravitational potential energy and kinetic energy.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,A,0.0-9.4: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000054,https://commons.wikimedia.org/wiki/File:Ellipse_Reflection.ogv,,,12.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Vibration can transfer energy through a medium.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,B,0.0-12.0: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000055,https://commons.wikimedia.org/wiki/File:Elastic-spheres-can-walk-on-water-ncomms10551-s3.ogv,,,7.8,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Warm air rises and can drive convection.,Vibration can transfer energy through a medium.,Magnetic fields can align or attract ferromagnetic materials.,C,0.0-7.8: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000056,https://commons.wikimedia.org/wiki/File:Iron_powder_on_magnetic_stirrer_01_ies.webm,,,120.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,Magnetic fields can align or attract ferromagnetic materials.,D,0.0-30.0: Iron powder movement changes under magnetic influence over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000057,https://commons.wikimedia.org/wiki/File:Cat.ogv,,,13.3,chemistry_material_change,Some chemical reactions produce color change.,Which knowledge point is best demonstrated by the dynamic process in the video?,Some chemical reactions produce color change.,Dissolved substances diffuse from high to low concentration.,Some reactions form a precipitate.,Combustion requires fuel and oxygen.,A,0.0-13.3: Collected from Category:Videos of chemical reactions; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000058,https://commons.wikimedia.org/wiki/File:C3N2H4_anim.ogv,,,12.5,chemistry_material_change,Some chemical reactions produce color change.,Which knowledge point is best demonstrated by the dynamic process in the video?,Dissolved substances diffuse from high to low concentration.,Some chemical reactions produce color change.,Some reactions form a precipitate.,Combustion requires fuel and oxygen.,B,0.0-12.5: Collected from Category:Videos of chemical reactions; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000059,https://commons.wikimedia.org/wiki/File:A-Versatile-Optical-Clearing-Protocol-for-Deep-Tissue-Imaging-of-Fluorescent-Proteins-in-pone.0161107.s005.ogv,,,25.7,chemistry_material_change,Some chemical reactions produce color change.,Which knowledge point is best demonstrated by the dynamic process in the video?,Dissolved substances diffuse from high to low concentration.,Some reactions form a precipitate.,Some chemical reactions produce color change.,Combustion requires fuel and oxygen.,C,0.0-25.7: Collected from Category:Videos of chemical reactions; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000060,https://commons.wikimedia.org/wiki/File:A-MultiSite-Gateway-Toolkit-for-Rapid-Cloning-of-Vertebrate-Expression-Constructs-with-Diverse-pone.0159277.s001.ogv,,,6.8,chemistry_material_change,Some chemical reactions produce color change.,Which knowledge point is best demonstrated by the dynamic process in the video?,Dissolved substances diffuse from high to low concentration.,Some reactions form a precipitate.,Combustion requires fuel and oxygen.,Some chemical reactions produce color change.,D,0.0-6.8: Collected from Category:Videos of chemical reactions; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000061,https://commons.wikimedia.org/wiki/File:Corona.ogv,,,21.0,chemistry_material_change,Combustion requires fuel and oxygen.,Which knowledge point is best demonstrated by the dynamic process in the video?,Combustion requires fuel and oxygen.,Some mixtures produce gas during chemical reactions.,A liquid can evaporate when heated or exposed to airflow.,Warm air rises and can drive convection.,A,0.0-21.0: Collected from Category:Videos of burning candles; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000062,https://commons.wikimedia.org/wiki/File:CandleGettingBlownOut.ogv,,,17.5,chemistry_material_change,Combustion requires fuel and oxygen.,Which knowledge point is best demonstrated by the dynamic process in the video?,Some mixtures produce gas during chemical reactions.,Combustion requires fuel and oxygen.,A liquid can evaporate when heated or exposed to airflow.,Warm air rises and can drive convection.,B,0.0-17.5: Collected from Category:Videos of burning candles; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000063,https://commons.wikimedia.org/wiki/File:Iodine_Clock_Reaction.ogv,,,126.0,chemistry_material_change,Some chemical reactions produce color change.,Which knowledge point is best demonstrated by the dynamic process in the video?,Dissolved substances diffuse from high to low concentration.,Some reactions form a precipitate.,Some chemical reactions produce color change.,Combustion requires fuel and oxygen.,C,0.0-45.0: Delayed color change appears after mixing and requires temporal observation.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000064,https://commons.wikimedia.org/wiki/File:Eu_esit%C3%B6_(video).ogv,,,7.9,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,Seed germination involves root and shoot emergence.,D,0.0-7.9: Collected from Category:Videos of plants; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000065,https://commons.wikimedia.org/wiki/File:Electrostatic-Charge-on-Flying-Hummingbirds-and-Its-Potential-Role-in-Pollination-pone.0138003.s001.ogv,,,13.4,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Seed germination involves root and shoot emergence.,Roots can grow downward in response to gravity.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,A,0.0-13.4: Collected from Category:Videos of plants; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000066,https://commons.wikimedia.org/wiki/File:Spring_is_creeping_in.webm,,,112.0,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Seed germination involves root and shoot emergence.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,B,0.0-60.0: Sprouting plants change visibly over time in a time lapse.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000067,https://commons.wikimedia.org/wiki/File:De_2e_voetballoze_zondag_Weeknummer_61-06_-_Open_Beelden_-_49287.ogv,,,61.5,physics_mechanics,Collisions transfer momentum between objects.,Which knowledge point is best demonstrated by the dynamic process in the video?,Non-elastic collisions dissipate kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,Collisions transfer momentum between objects.,A spinning object can maintain angular momentum.,C,0.0-30.0: Collected from Category:Videos of billiards; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000068,https://commons.wikimedia.org/wiki/File:Citybeat_-_Guitarist_Snooker_Champ_Michael_Laucke.ogv,,,172.5,physics_mechanics,Collisions transfer momentum between objects.,Which knowledge point is best demonstrated by the dynamic process in the video?,Non-elastic collisions dissipate kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,A spinning object can maintain angular momentum.,Collisions transfer momentum between objects.,D,0.0-30.0: Collected from Category:Videos of billiards; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000069,https://commons.wikimedia.org/wiki/File:Bezoek_aan_een_dames_biljart_club-512468.ogv,,,72.7,physics_mechanics,Collisions transfer momentum between objects.,Which knowledge point is best demonstrated by the dynamic process in the video?,Collisions transfer momentum between objects.,Non-elastic collisions dissipate kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,A spinning object can maintain angular momentum.,A,0.0-30.0: Collected from Category:Videos of billiards; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000070,https://commons.wikimedia.org/wiki/File:Arie_Bos_Nederlands_kampioen_biljarten_driebanden-524299.ogv,,,96.5,physics_mechanics,Collisions transfer momentum between objects.,Which knowledge point is best demonstrated by the dynamic process in the video?,Non-elastic collisions dissipate kinetic energy.,Collisions transfer momentum between objects.,Objects sliding on rough surfaces slow down due to friction.,A spinning object can maintain angular momentum.,B,0.0-30.0: Collected from Category:Videos of billiards; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000071,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s009.ogv,,,120.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,Magnetic fields can align or attract ferromagnetic materials.,A spinning object can maintain angular momentum.,C,0.0-45.0: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000072,https://commons.wikimedia.org/wiki/File:Microgravity-simulation-by-diamagnetic-levitation-effects-of-a-strong-gradient-magnetic-field-on-1471-2164-13-52-S2.ogv,,,599.7,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,Magnetic fields can align or attract ferromagnetic materials.,D,0.0-45.0: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000076,https://commons.wikimedia.org/wiki/File:STEMonstrations-_Water_Filtration.webm,,,191.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Which knowledge point is best demonstrated by the dynamic process in the video?,Filtering separates solids from liquids by particle size.,Settling separates materials by density over time.,Layering fluids can demonstrate density differences.,Some reactions form a precipitate.,A,0.0-60.0: The clip discusses and shows filtration processes over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000077,https://commons.wikimedia.org/wiki/File:Torsion_spring_animation.ogv,,,4.2,physics_mechanics,Elastic materials restore shape after deformation.,Which knowledge point is best demonstrated by the dynamic process in the video?,Non-elastic collisions dissipate kinetic energy.,Elastic materials restore shape after deformation.,A solid can absorb heat and melt into a liquid.,Porous materials absorb liquid through internal spaces.,B,0.0-4.2: The spring oscillates after deformation over repeated frames.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000078,https://commons.wikimedia.org/wiki/File:STEMonstrations-_Surface_Tension.webm,,,164.0,everyday_causal_mechanisms,Surface tension can support small objects or droplets.,Which knowledge point is best demonstrated by the dynamic process in the video?,Porous materials absorb liquid through internal spaces.,Warm air rises and can drive convection.,Surface tension can support small objects or droplets.,Evaporation can cool a surface.,C,0.0-60.0: The video contains demonstrations where water surface behavior changes over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000079,https://commons.wikimedia.org/wiki/File:Cap_4.2_-_Ensaio_de_desbalanceamento.ogv,,,82.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A pendulum exchanges gravitational potential energy and kinetic energy.,D,0.0-60.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000080,https://commons.wikimedia.org/wiki/File:Cap_1.3_-_Demonstracao_pontos_de_aquisicao.ogv,,,83.1,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A,0.0-60.0: Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
