search_term,initial_category,candidate_knowledge_point,default_start_sec,default_end_sec,why_dynamic,notes
stir while adding powder prevents clumps video,procedural_operational_principles,Stirring while adding powder improves dispersion.,0,60,The video should visibly show the temporal process for: Stirring while adding powder improves dispersion.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
mixing powder into liquid stirring demonstration,procedural_operational_principles,Stirring while adding powder improves dispersion.,0,60,The video should visibly show the temporal process for: Stirring while adding powder improves dispersion.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
powder dispersion stirring demo,procedural_operational_principles,Stirring while adding powder improves dispersion.,0,60,The video should visibly show the temporal process for: Stirring while adding powder improves dispersion.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
vent before sealing pressure buildup demonstration,procedural_operational_principles,Venting before sealing can reduce pressure buildup.,0,60,The video should visibly show the temporal process for: Venting before sealing can reduce pressure buildup.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
container venting pressure demo video,procedural_operational_principles,Venting before sealing can reduce pressure buildup.,0,60,The video should visibly show the temporal process for: Venting before sealing can reduce pressure buildup.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
pressure release before sealing experiment,procedural_operational_principles,Venting before sealing can reduce pressure buildup.,0,60,The video should visibly show the temporal process for: Venting before sealing can reduce pressure buildup.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
sequential tightening lug nuts demonstration video,procedural_operational_principles,Sequential tightening can distribute force evenly.,0,60,The video should visibly show the temporal process for: Sequential tightening can distribute force evenly.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
tighten bolts in sequence force distribution,procedural_operational_principles,Sequential tightening can distribute force evenly.,0,60,The video should visibly show the temporal process for: Sequential tightening can distribute force evenly.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
cross pattern tightening demo,procedural_operational_principles,Sequential tightening can distribute force evenly.,0,60,The video should visibly show the temporal process for: Sequential tightening can distribute force evenly.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
pre wetting sponge reduces absorption demo,procedural_operational_principles,Pre-wetting can reduce absorption during later application.,0,60,The video should visibly show the temporal process for: Pre-wetting can reduce absorption during later application.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
pre wet surface absorption demonstration video,procedural_operational_principles,Pre-wetting can reduce absorption during later application.,0,60,The video should visibly show the temporal process for: Pre-wetting can reduce absorption during later application.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
wetting before applying liquid video,procedural_operational_principles,Pre-wetting can reduce absorption during later application.,0,60,The video should visibly show the temporal process for: Pre-wetting can reduce absorption during later application.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
filtration separates sand water video,procedural_operational_principles,Filtering separates solids from liquids by particle size.,0,60,The video should visibly show the temporal process for: Filtering separates solids from liquids by particle size.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
filter paper separates solid liquid demonstration,procedural_operational_principles,Filtering separates solids from liquids by particle size.,0,60,The video should visibly show the temporal process for: Filtering separates solids from liquids by particle size.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
coffee filter separates particles video,procedural_operational_principles,Filtering separates solids from liquids by particle size.,0,60,The video should visibly show the temporal process for: Filtering separates solids from liquids by particle size.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
sedimentation settling particles water video,procedural_operational_principles,Settling separates materials by density over time.,0,60,The video should visibly show the temporal process for: Settling separates materials by density over time.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
muddy water settling time lapse,procedural_operational_principles,Settling separates materials by density over time.,0,60,The video should visibly show the temporal process for: Settling separates materials by density over time.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
density settling separation demonstration,procedural_operational_principles,Settling separates materials by density over time.,0,60,The video should visibly show the temporal process for: Settling separates materials by density over time.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
density column liquids layering video,procedural_operational_principles,Layering fluids can demonstrate density differences.,0,60,The video should visibly show the temporal process for: Layering fluids can demonstrate density differences.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
different density liquids layer demonstration,procedural_operational_principles,Layering fluids can demonstrate density differences.,0,60,The video should visibly show the temporal process for: Layering fluids can demonstrate density differences.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
oil water syrup density column video,procedural_operational_principles,Layering fluids can demonstrate density differences.,0,60,The video should visibly show the temporal process for: Layering fluids can demonstrate density differences.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
small adjustments stabilize balancing demo,procedural_operational_principles,Repeated small adjustments can stabilize a system better than one large adjustment.,0,60,The video should visibly show the temporal process for: Repeated small adjustments can stabilize a system better than one large adjustment.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
iterative adjustment stabilization video,procedural_operational_principles,Repeated small adjustments can stabilize a system better than one large adjustment.,0,60,The video should visibly show the temporal process for: Repeated small adjustments can stabilize a system better than one large adjustment.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
fine tuning balance demonstration,procedural_operational_principles,Repeated small adjustments can stabilize a system better than one large adjustment.,0,60,The video should visibly show the temporal process for: Repeated small adjustments can stabilize a system better than one large adjustment.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
brazil nut effect demonstration video,procedural_operational_principles,Vibration can cause granular materials to segregate by particle size.,0,60,The video should visibly show the temporal process for: Vibration can cause granular materials to segregate by particle size.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
granular segregation shaking video,procedural_operational_principles,Vibration can cause granular materials to segregate by particle size.,0,60,The video should visibly show the temporal process for: Vibration can cause granular materials to segregate by particle size.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
particles separate by size shaking demonstration,procedural_operational_principles,Vibration can cause granular materials to segregate by particle size.,0,60,The video should visibly show the temporal process for: Vibration can cause granular materials to segregate by particle size.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
