principle_id,domain,subdomain,principle,required_dynamic_signature,acceptable_video_types,reject_conditions,query_seed,hard_negative_family,priority
ENG_SEP_002,engineered_systems_and_operations,filtration_and_separation,Density-driven settling separates particles by gravitational settling velocity.,Suspension clears from top while particles accumulate at bottom.,sedimentation separation; settling column; clarification,Reject shaking or centrifuge if gravity settling is not the mechanism.,sedimentation separation time lapse|settling column particles time lapse|clarification suspension settling video,precipitation; filtration; centrifugation,core
ENG_SEP_003,engineered_systems_and_operations,filtration_and_separation,Vibration can segregate granular mixtures when smaller grains percolate downward.,Larger particles rise or appear at the top under repeated shaking.,Brazil nut effect; granular segregation; vibration sorting,Reject static layered bins or manual sorting.,Brazil nut effect granular segregation video|vibrated granular mixture size segregation video,sediment sorting; sieving; buoyancy,core
ENG_MIX_001,engineered_systems_and_operations,mixing_dispersion_and_wetting,"Mechanical mixing disperses components by stretching, folding, and advecting interfaces.",Colored fluids or particles are stretched into filaments and distributed through the volume.,static mixer; impeller mixing; dye mixing visualization,Reject final homogeneous mixtures without mixing trajectory.,fluid mixing dye visualization video|static mixer dye stretching folding video|impeller mixing dispersion video,molecular diffusion only; precipitation; laminar reversible mixing,core
ENG_MIX_002,engineered_systems_and_operations,mixing_dispersion_and_wetting,Coating/wetting processes rely on contact-angle reduction and droplet coalescence into a film.,"Droplets impact, spread, merge, and form a continuous layer.",spray coating; dip coating; wetting surface treatment,Reject isolated physics droplet demos unless process goal is coating or cleaning.,spray coating droplet deposition slow motion|coating wetting contact angle video|droplet coalescence coating film video,capillary rise; rain drops; diffusion,core
ENG_THM_001,engineered_systems_and_operations,thermal_process_control,Hot forging uses elevated temperature to lower flow stress for controlled plastic deformation.,Heated workpiece deforms progressively under hammer/press blows.,hot forging; blacksmithing; press forging,Reject cold hammering or decorative final shapes without deformation sequence.,hot forging plastic deformation video|heated metal hammer forging slow motion|press forging red hot steel video,thermal expansion; cutting; welding,core
ENG_THM_002,engineered_systems_and_operations,thermal_process_control,Quenching rapidly extracts heat to change material state and properties.,"Hot part is immersed, vapor/boiling forms, and cooling progresses rapidly.",steel quenching; heat treatment; vapor blanket quench,Reject simple dunking with no thermal response or material context.,quenching hot steel cooling video|heat treatment quench boiling video|steel quench vapor blanket video,Leidenfrost droplet; forging; welding,core
ENG_TOOL_001,engineered_systems_and_operations,tooling_force_and_precision,Cutting forms chips when tool shear stress exceeds material strength along a shear plane.,Tool advances and continuous or segmented chips form and evacuate.,metal cutting slow motion; orthogonal cutting; chip formation,Reject finished cuts without visible chip formation.,metal cutting chip formation slow motion|orthogonal cutting shear plane video|lathe chip formation slow motion,fracture impact; drilling; polishing,core
ENG_TOOL_002,engineered_systems_and_operations,tooling_force_and_precision,Drilling combines rotary cutting and axial feed to remove material as chips.,"Drill rotates, advances, and chips evacuate from the hole.",drilling slow motion; chip evacuation; machining,Reject hole already made or no visible chips.,drilling chip evacuation slow motion|drill bit cutting chips video|machining drilling process slow motion,sawing; cutting only; melting,core
ENG_FAIL_001,engineered_systems_and_operations,machines_control_and_failure_modes,Mechanical resonance can amplify vibration until structural instability or failure occurs.,"Vibration amplitude grows and structure deforms, loses control, or breaks.",resonance failure; bridge vibration; rotating machinery instability,Reject failures with no visible oscillation growth.,mechanical resonance failure video|vibration amplitude growth structural failure video|rotating machinery resonance instability video,impact fracture; damping; normal operation,core
ENG_FAIL_002,engineered_systems_and_operations,pressure_flow_and_process_control,Clogging creates positive feedback by reducing flow area and increasing upstream accumulation.,"Particles collect in a filter/channel, flow slows, and blockage worsens.",filter clogging; channel blockage; fouling time lapse,Reject final clogged filters without accumulation sequence.,filter clogging flow rate time lapse|channel blockage particle accumulation video|fouling filter time lapse,sedimentation; filtration normal; precipitation,core
